col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedl_NI	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	photo	vissky	isf	isfu	dsf	dsfu	gsf	gsfu	difbe	difbeu	dirbe	dirbeu	totbe	totbeu	lai	eladp	mla	gndcover	laidev	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
35	D	F1	B	202905.79	7322502.41	892	11	0	0	4	36	6	1	32	4	0	0	3	DSCN7518	0.066	0.103	0.081	0.135	0.129	0.116	0.099	595	799	578	755	1173	1555	2.779	1.850	40	0.858	2.0770	3.80	3.75	3.700	56.5	9.5	1.2	2.80	8.0	4.0	26.0	86.5	15.95	102.45	15.0	64.0	18.0	14.5	8.0	9.5	3.5	53.5	8.5	38.0	6.0	1.13	0.18	0.55	0.94	0.17	1.21	0.04
36	D	G0	B	202893.99	7322478.22	276	9	0	0	0	56	6	2	28	8	0	0	2	DSCN7588	0.061	0.098	0.076	0.093	0.087	0.096	0.080	568	749	398	510	966	1258	2.912	1.672	43	0.858	2.3721	4.00	3.75	3.700	39.5	16.5	1.6	4.50	19.5	11.0	19.5	91.5	36.55	128.05	21.5	51.5	11.0	10.0	8.0	9.0	3.0	41.0	16.0	43.0	6.5	1.13	0.16	0.57	0.63	0.20	1.25	0.05
37	D	H1	B	202934.59	7322482.18	152	9	0	0	0	96	10	4	56	16	0	0	3	DSCN7520	0.084	0.156	0.110	0.095	0.080	0.130	0.099	899	1090	409	467	1308	1557	3.11	0.63	67	0.67	2.9900	3.85	3.80	3.700	37.0	12.5	0.9	4.25	9.5	5.5	16.5	78.5	20.15	98.65	19.5	46.5	15.5	15.5	9.5	10.0	3.0	53.5	15.5	31.0	4.0	1.13	0.14	0.57	0.93	0.13	1.15	0.04
38	D	J3	NB	202986.02	7322465.7	1212	15	0	0	0	132	4	7	100	12	0	0	3	DSCN7540	0.069	0.119	0.087	0.126	0.113	0.122	0.097	688	865	539	664	1227	1528	3.191	0.933	58	0.782	2.3881	4.05	3.75	3.850	57.5	12.5	0.5	1.80	36.0	6.0	11.0	115.5	44.30	159.80	28.0	19.0	12.0	20.5	12.5	12.5	3.5	61.0	12.5	26.5	13.0	1.13	0.14	0.57	1.08	0.11	1.13	0.03
39	D	K3	B	203002.16	7322440.63	1488	8	0	0	0	36	6	1	28	0	0	0	4	DSCN7537_2	0.039	0.073	0.051	0.108	0.094	0.087	0.067	420	506	462	553	881	1059	4.466	0.710	64	0.825	2.4660	3.70	3.65	3.600	38.5	10.5	1.0	2.50	4.5	5.5	23.5	103.5	13.45	116.95	10.5	66.5	10.5	15.5	8.0	6.5	2.0	42.5	12.0	45.5	1.0	1.13	0.18	0.55	0.67	0.21	1.28	0.05
40	D	J4	NB	203001.7	7322467.33	296	18	12	0	4	40	5	1	36	0	4	0	3	DSCN7541	0.039	0.072	0.051	0.038	0.033	0.057	0.044	415	506	162	195	577	701	4.077	0.905	59	0.851	2.6281	4.05	3.75	3.850	57.5	12.5	0.5	1.80	36.0	6.0	11.0	115.5	44.30	159.80	28.0	19.0	12.0	20.5	12.5	12.5	3.5	61.0	12.5	26.5	13.0	1.13	0.14	0.57	1.08	0.11	1.13	0.03
41	D	K5 	B	203036.15	7322457.54	11108	7	4	0	0	104	5	19	52	4	0	0	1	DSCN7551	0.034	0.040	0.037	0.061	0.067	0.049	0.048	233	367	261	393	494	759	3.306	4.763	18	0.950	2.8479	3.65	3.45	3.450	57.5	26.5	1.6	3.95	18.0	11.5	32.0	146.0	35.05	181.05	18.0	51.5	9.0	12.0	8.5	8.5	2.5	40.5	14.0	45.5	6.5	1.13	0.18	0.57	0.64	0.21	1.27	0.05
42	D	K5 	B	203039	7322460.37	1256	7	0	0	0	28	5	0	24	0	0	0	1	DSCN7552	0.049	0.096	0.066	0.142	0.121	0.116	0.086	554	652	610	713	1164	1364	4.137	0.600	68	0.756	2.9963	4.00	3.75	3.750	34.5	9.0	0.6	1.80	12.5	5.5	13.5	75.5	20.40	95.90	19.0	46.5	7.0	13.5	12.0	11.0	2.5	46.0	17.0	37.0	5.5	1.13	0.15	0.57	0.72	0.17	1.20	0.05
43	D	K7	NB	203060.84	7322491.14	680	10	0	0	0	44	7	2	28	8	0	0	2	DSCN7557	0.075	0.131	0.096	0.112	0.106	0.123	0.099	758	947	479	620	1237	1567	3.012	0.939	58	0.764	2.1813	3.80	3.55	3.500	42.5	15.5	1.0	3.70	8.0	5.5	26.0	125.5	18.20	143.70	11.5	63.0	15.0	18.0	8.0	11.5	2.5	55.0	19.0	26.0	0.0	1.28	0.10	0.53	0.68	0.16	1.19	0.04
44	D	L6	NB	203056.11	7322445.58	772	14	0	4	0	56	8	4	32	0	0	0	1	DSCN7570_2	0.059	0.091	0.072	0.085	0.080	0.089	0.075	528	709	366	469	894	1178	2.916	1.848	40	0.871	1.6279	3.90	3.70	3.700	48.5	12.5	1.1	3.45	4.5	6.0	24.5	88.0	15.00	103.00	13.0	67.0	11.0	9.5	6.5	7.0	2.0	36.0	15.5	48.5	6.5	1.13	0.18	0.57	0.57	0.23	1.30	0.06
