col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
57	M	D7	NB	202988.62	7322591.57	61	16	4	0	0	34	8	19	4	0	0	3	3.90	3.80	3.80	35.5	5.5	0.85	2.40	7.5	6.5	13.5	63.0	17.25	80.25	21.5	44.0	18.5	18.0	9.0	7.5	2.0	55.0	7.0	38.0	17.0	1.13	0.18	0.54	0.98	0.18	1.21	0.04
58	M	A10	NB	203017.28	7322678.74	761	17	1	0	0	5	3	5	1	0	0	5	3.70	3.80	3.65	26.5	10.0	0.25	1.40	1.5	1.5	21.5	81.0	4.65	85.65	5.5	83.0	17.5	16.5	10.5	10.0	2.5	57.0	14.0	29.0	2.0	1.13	0.14	0.56	1.15	0.11	1.13	0.03
59	M	B10	NB	203024.12	7322675.74	40	15	1	0	0	6	5	4	0	1	0	4	3.70	3.65	3.60	31.5	5.5	0.35	1.50	2.5	2.0	24.5	90.5	6.35	96.85	6.5	80.5	16.0	15.0	10.5	10.5	3.5	55.5	16.0	28.5	4.0	1.13	0.13	0.57	1.09	0.11	1.13	0.03
60	M	C10	NB	203034.57	7322656.70	36	9	8	0	0	10	4	8	5	0	0	5	3.95	3.85	3.70	43.0	7.5	0.75	2.25	2.5	4.5	24.0	94.0	10.00	104.00	9.0	73.0	16.0	13.0	7.5	8.0	2.0	46.5	12.0	41.5	1.0	1.13	0.18	0.56	0.76	0.19	1.24	0.05
61	M	A4	NB	202911.03	7322616.55	197	13	2	0	0	2	2	1	0	0	0	6	3.95	3.80	3.75	45.5	12.0	0.85	2.30	12.0	5.5	18.0	87.5	20.65	108.15	16.5	54.5	15.5	16.5	8.5	10.5	3.0	54.0	14.5	31.5	5.5	1.13	0.14	0.57	0.91	0.14	1.16	0.04
62	M	C2	NB	202889.96	7322572.52	45	16	4	0	0	11	7	8	2	0	0	5	4.05	3.90	3.95	40.0	7.5	0.45	3.35	11.0	5.0	15.0	72.5	19.80	92.30	18.5	50.5	16.5	15.0	9.5	11.0	4.0	56.0	16.0	28.0	2.0	1.13	0.13	0.57	0.99	0.12	1.14	0.03
63	M	H4	NB	202978.17	7322493.20	23	13	2	0	0	5	5	5	1	0	0	2	3.95	3.85	3.85	34.5	3.0	0.90	1.90	3.0	2.0	14.5	75.5	7.80	83.30	9.0	67.5	15.0	20.5	13.0	14.5	2.5	65.5	11.0	23.5	3.0	1.13	0.13	0.56	1.24	0.10	1.11	0.03
64	M	J3	NB	202986.02	7322465.70	127	20	7	0	0	8	4	4	1	0	0	3	4.05	3.75	3.85	57.5	12.5	0.50	1.80	36.0	6.0	11.0	115.5	44.30	159.80	28.0	19.0	12.0	20.5	12.5	12.5	3.5	61.0	12.5	26.5	13.0	1.13	0.14	0.57	1.08	0.11	1.13	0.03
65	M	J4	NB	203004.37	7322464.51	88	20	18	0	0	14	7	9	0	0	0	3	4.50	4.00	4.00	38.0	3.5	0.80	2.45	6.0	6.5	12.5	70.5	15.75	86.25	16.0	51.5	11.5	16.5	7.5	9.5	2.0	47.0	14.5	38.5	1.0	1.28	0.15	0.51	0.53	0.22	1.29	0.04
66	M	K7	NB	203060.84	7322491.14	61	8	6	0	1	3	2	2	2	0	0	2	3.80	3.55	3.50	42.5	15.5	1.00	3.70	8.0	5.5	26.0	125.5	18.20	143.70	11.5	63.0	15.0	18.0	8.0	11.5	2.5	55.0	19.0	26.0	0.0	1.28	0.10	0.53	0.68	0.16	1.19	0.04
