block	mhab	sow	add	excl	germ	s.unk	s.path	sdl.unk	sdl.herb	sdl.drought	sdl.surv	pemerg	M1	M2	p1	p2	M3	M4	M5	psurv	p3	p4	p5	precr
D4	SB	6	A	E	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B5	SB	6	A	E	1	5	0	1	0	0	0	0.00	0.83	0.00	0.17	1.00	0.17	0.00	0.00	0.00	0.83	1.00	1.00	0.00
C5	SB	6	A	E	6	0	0	4	0	1	1	0.00	0.00	0.00	1.00	1.00	0.67	0.00	0.17	0.17	0.33	1.00	0.83	0.17
D5	SB	6	A	E	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
C2	SB	6	A	E	4	2	0	1	3	0	0	0.00	0.33	0.00	0.67	1.00	0.17	0.50	0.00	0.00	0.83	0.50	1.00	0.00
B3	SB	6	A	E	3	3	0	1	2	0	0	0.00	0.50	0.00	0.50	1.00	0.17	0.33	0.00	0.00	0.83	0.67	1.00	0.00
C4	SB	6	A	E	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D1	SB	6	A	E	6	0	0	1	3	1	1	0.00	0.00	0.00	1.00	1.00	0.17	0.50	0.17	0.17	0.83	0.50	0.83	0.17
I2	SB	6	A	E	3	3	0	0	0	0	3	0.00	0.50	0.00	0.50	1.00	0.00	0.00	0.00	0.50	1.00	1.00	1.00	0.50
E1	SB	6	A	E	6	0	0	0	5	1	0	0.00	0.00	0.00	1.00	1.00	0.00	0.83	0.17	0.00	1.00	0.17	0.83	0.00
E3	SB	6	A	E	4	2	0	0	4	0	0	0.00	0.33	0.00	0.67	1.00	0.00	0.67	0.00	0.00	1.00	0.33	1.00	0.00
G4	SB	6	A	E	1	5	0	0	1	0	0	0.00	0.83	0.00	0.17	1.00	0.00	0.17	0.00	0.00	1.00	0.83	1.00	0.00
B10	SB	6	A	E	1	5	0	0	1	0	0	0.00	0.83	0.00	0.17	1.00	0.00	0.17	0.00	0.00	1.00	0.83	1.00	0.00
C11	SB	6	A	E	2	4	0	1	0	1	0	0.00	0.67	0.00	0.33	1.00	0.17	0.00	0.17	0.00	0.83	1.00	0.83	0.00
D10	SB	6	A	E	2	4	0	1	0	0	1	0.00	0.67	0.00	0.33	1.00	0.17	0.00	0.00	0.17	0.83	1.00	1.00	0.17
K7	SB	6	A	E	3	3	0	2	0	0	1	0.00	0.50	0.00	0.50	1.00	0.33	0.00	0.00	0.17	0.67	1.00	1.00	0.17
L7	SB	6	A	E	3	3	0	1	2	0	0	0.00	0.50	0.00	0.50	1.00	0.17	0.33	0.00	0.00	0.83	0.67	1.00	0.00
M8	SB	6	A	E	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
B6	SB	6	A	E	4	2	0	1	1	0	2	0.00	0.33	0.00	0.67	1.00	0.17	0.17	0.00	0.33	0.83	0.83	1.00	0.33
